0,nospec_no_specifier_test,1652361778,0
1,nospec_empty_string,1652361778,0
2,nospec_some_escaped_chars,1652361778,0
3,nospec_successive_5_5,1652361778,0
4,nospec_successive_2_9,1652361778,0
5,nospec_successive_8_3,1652361778,0
6,pct_basic,1652361778,0
7,pct_5w,1652361778,0
8,pct_5wlj,1652361778,0
9,pct_5wzp,1652361778,0
10,pct_5wljzp,1652361778,0
16,c_allprintable_combined,1652361778,0
17,c_1_31_combined,1652361778,0
18,c_128_255_combined,1652361778,0
19,c_allprintable_width,1652361778,0
20,c_1_31_width,1652361778,0
21,c_128_255_width,1652361778,0
22,c_allprintable_width_lj,1652361778,0
23,c_1_31_width_lj,1652361778,0
24,c_128_255_width_lj,1652361778,0
25,c_nullterm_basic,1652361778,0
26,c_nullterm_5w,1652361778,0
27,c_nullterm_5wlj,1652361778,0
28,s_basic_string_expansion,1652361778,0
29,s_only_string_expansion,1652361778,0
30,s_two_string_expansions,1652361778,0
31,s_two_string_expansions2,1652361778,0
32,s_empty_string_expansion,1652361778,0
33,s_full_then_empty_string,1652361778,0
34,s_empty_then_full_string,1652361778,0
35,s_three_strings,1652361778,0
36,s_space_padded_field_width,1652361778,0
37,s_space_padded_field_width2,1652361778,0
38,s_space_padded_over_field_width,1652361778,0
39,s_space_padded_field_width_lj,1652361778,0
40,s_space_padded_field_width2_lj,1652361778,0
41,s_space_padded_over_field_width_lj,1652361778,0
42,s_string_prec_notrunc,0,1652361778
43,s_string_prec_trunc,0,1652361778
44,s_string_prec_default,0,1652361778
45,s_string_prec_zero,0,1652361778
46,s_two_strings_prec_2trunc,0,1652361778
47,s_two_strings_prec_1trunc_a,0,1652361778
48,s_two_strings_prec_1trunc_b,0,1652361778
49,s_two_strings_prec_0trunc,0,1652361778
50,s_string_prec_width_notrunc,0,1652361778
51,s_string_prec_width_trunc,0,1652361778
52,s_string_prec_width_notrunc_lj,0,1652361778
53,s_string_prec_width_trunc_lj,0,1652361778
54,s_two_s_prec_width_2fit_0trunc,0,1652361778
55,s_two_s_prec_width_1fit_a_0trunc,0,1652361778
56,s_two_s_prec_width_1fit_b_0trunc,0,1652361778
57,s_two_s_prec_width_0fit_0trunc,0,1652361778
58,s_two_s_prec_width_2fit_1trunc_a,0,1652361778
59,s_two_s_prec_width_1fit_a_1trunc_a,0,1652361778
60,s_two_s_prec_width_1fit_b_1trunc_a,0,1652361778
61,s_two_s_prec_width_0fit_1trunc_a,0,1652361778
62,s_two_s_prec_width_2fit_1trunc_b,0,1652361778
63,s_two_s_prec_width_1fit_a_1trunc_b,0,1652361778
64,s_two_s_prec_width_1fit_b_1trunc_b,0,1652361778
65,s_two_s_prec_width_0fit_1trunc_b,0,1652361778
66,s_two_s_prec_width_2fit_2trunc,0,1652361778
67,s_two_s_prec_width_1fit_a_2trunc,0,1652361778
68,s_two_s_prec_width_1fit_b_2trunc,0,1652361778
69,s_two_s_prec_width_0fit_2trunc,0,1652361778
70,s_two_s_prec_width_2trunc,1652361778,0
71,s_two_strings_lj_and_rj,1652361778,0
72,s_two_strings_rj_and_lj,1652361778,0
73,s_null_basic_string_expansion,1652361778,0
74,s_null_only_string_expansion,1652361778,0
75,s_null_space_padded_field_width,1652361778,0
76,s_null_space_padded_over_field_width,1652361778,0
77,s_null_space_padded_field_width_lj,1652361778,0
78,s_null_space_padded_field_width2_lj,1652361778,0
79,s_null_space_padded_over_field_width_lj,1652361778,0
